id,web_name,position_y,team_name,is_captain,now_cost,selling_price,selected_by_percent,event_points,total_points
254,Ward,Goalkeeper,Leicester,False,4.1,4.0,26.2,3,43
306,Cancelo,Defender,Man City,False,7.4,7.2,56.3,6,71
106,Dunk,Defender,Brighton,False,4.7,4.6,5.5,2,37
357,Trippier,Defender,Newcastle,False,5.8,5.4,61.9,11,77
283,Salah,Midfielder,Liverpool,True,12.8,12.7,31.2,7,65
19,Martinelli,Midfielder,Arsenal,False,6.8,6.4,49.0,8,68
335,Rashford,Midfielder,Man Utd,False,6.6,6.6,16.7,8,58
111,Trossard,Midfielder,Brighton,False,6.9,6.8,21.0,7,73
318,Haaland,Forward,Man City,False,12.2,11.8,80.9,0,117
28,Jesus,Forward,Arsenal,False,8.0,8.0,58.8,9,65
356,Wilson,Forward,Newcastle,False,7.4,7.3,7.7,19,53
133,Arrizabalaga,Goalkeeper,Chelsea,False,4.5,4.4,3.6,0,29
346,Andreas,Midfielder,Fulham,False,4.6,4.5,25.4,3,53
430,Dier,Defender,Spurs,False,5.3,5.2,11.0,1,48
167,Guéhi,Defender,Crystal Palace,False,4.4,4.3,3.5,6,26
