event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,78,78,386786,390723,386786,0,100.0,0,0,13
2,82,160,349435,350255,38160,0,100.2,0,0,12
3,44,204,6097470,6099681,180575,0,100.9,0,0,17
4,88,292,513208,513520,29217,5,101.2,1,0,6
5,86,378,516792,519499,10752,5,101.4,1,0,9
6,45,423,4876300,4878313,18425,18,101.7,2,0,5
7,0,423,1,101159,17987,18,101.7,0,0,0
8,71,494,599063,599670,5644,3,101.8,2,0,2
9,82,576,2460957,2462596,10056,4,101.8,1,0,2
10,71,647,1871684,1875178,11335,2,101.7,1,0,4
11,42,689,6756414,6758580,23254,10,101.5,0,0,19
12,41,730,5009896,5011070,45454,0,101.9,1,0,9
13,50,780,6131494,6133610,79395,0,102.1,0,0,26
14,86,866,297749,298002,22184,10,102.3,2,0,11
